id,zh,en
sb_register,注册,register
sb_registered_success,注册SB帐号成功,Register SB account successfully
sb_account_password,账号: ${account}~n密码: ${password},Account: ${account}~nPassword: ${password}
sb_account_already_registered,已注册SB帐号,SB account already registered
sb_check_password,查看SB帐号密码请再次输入:~n ask sb manager about 注册,Enter below command again to check your SB account and password:~n ask sb manager about register
sb_server_offline,SB服务器下线了,SB server offlined
sb_restarted,SB服务器已重启，请一分钟后登陆,"SB server is restarted, please login after 1 minute"
sb_restart_pending,SB服务器现在有人，将于无人时重启，请耐心等待，或到群里叫大家下线让服务器自动重启，重启后即可登陆。~n查看服务器状态输入:~nask sb manager about 状态,"There are players in SB server now, please wait until all players logged out and server will be restarted automatically, you may login after server is restarted.~nEnter below command for server status:~nask sb manager about status"
sb_status,状态,status
sb_online_players,当前在线玩家:,Current online players:
sb_no_one_online,当前无人在线,No one online for the moment
sb_memory_usage,内存使用率: ,Memory usage: 
sb_account_inactivated,SB账号已冻结:,Account inactivated:
simultaneously_duplicated_login,同时多人登录。,Multiple players logged simultaneously.
sb_temperature,温度: ,Temperature: 
sb_cpuusage,CPU使用率: ,CPU Usage: 
affair_help,帮助,help
bilibili_manager_help,BILIBILI管理员指令帮助:~nask bilibili manager about 管理,BILIBILI manager instruction:~nask bilibili manager about manage
affair_manage,管理,manage
affair_menu,菜单:,menu:
affiar_menu_exit,退出菜单,Exit menu
pending_process_vids_desc,显示正在处理视频,Show processing videos
pending_upload_vids_desc,显示等待上传视频,Show pending upload videos
login_bilibili_desc,登录BILIBILI,Login Bilibili
affair_action_bilibili_manager,BILIBILI管理菜单:,BILIBILI management menu:
bilibili_manager_offline,BILIBILI管理员下线了,BILIBILI manager offline
update_bilibili_profile_desc,更新BILIBILI账号,Update bilibili profile
input_username_password_format,请输入(99 + 空格 + 用户名 + 空格 + 密码),Please enter (99 + space + username + space + password)
please_update_bilibili_profile,请更新BILIBILI账号,Please update BILIBILI profile
bilibili_profile_updated,BILIBILI账号已更新,BILIBILI profile updated
login_sucess,登录成功,Login success
please_input_captcha,请输入(98 + 空格 + 图片验证码),Please input (98 + space + captcha from below image)
please_login_bilibili,请登录BILIBILI,Please login BILIBILI
bilibili_upload_started,已开始上传视频至BILIBILI,Upload videos to BILIBILI has been started
upload_vids_to_bilibili,上传视频至BILIBILI,Upload videos to BILIBILI
no_processed_vids,没有等待上传视频,No pending upload videos
existing_video_being_uploaded,已有正在上传视频,Existing video is being uploaded
login_always_cause_server_down,多次登录导致服务器崩溃,Login due to server down.
sb_ip,ip,ip
sb_start,启动,start
server_already_started,服务器已经启动了,Server already started.
server_started,启动了,Started.
sb_apply_admin,权限,admin
existing_admin_online,已有GM在线,Existing GM online
invalid_admin_player,你的账号无法申请权限,Your account is not valid for apply admin right
no_change,没有变化,No change
current_gm,当前GM: ,Current gm: 
